Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,169972500.0,144476624.96,25495875.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,171105650.0,145439802.48,25665847.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,172238800.0,146402980.0,25835820.0,85.0,15.0,182.58,54523.47,280.88,258.40999999999997,-22.46,22.46
2024-04-01,HISTORICO,173371950.0,147366157.52,26005792.479999997,85.0,15.0,182.22,52775.92,280.35999999999996,257.91,-22.419999999999998,22.419999999999998
2024-05-01,HISTORICO,174505100.0,148329335.04,26175765.039999995,85.0,15.0,189.76,52877.420000000006,291.93999999999994,268.58000000000004,-23.359999999999996,23.359999999999996
2024-06-01,HISTORICO,175638250.0,149292512.48,26345737.520000003,85.0,15.0,199.14999999999998,55391.77,306.41,281.9,-24.51,24.51
2024-07-01,HISTORICO,176771400.0,150255690.0,26515710.0,85.0,15.0,201.48000000000002,58593.92999999999,309.98,285.16999999999996,-24.800000000000004,24.800000000000004
2024-08-01,HISTORICO,177904550.0,151218867.52,26685682.479999997,85.0,15.0,194.55000000000004,59794.28999999999,299.29,275.35,-23.939999999999998,23.939999999999998
2024-09-01,HISTORICO,179037700.0,152182044.96,26855655.039999995,85.0,15.0,185.81,58505.159999999996,285.88,263.01,-22.869999999999997,22.869999999999997
2024-10-01,HISTORICO,180170850.0,153145222.48,27025627.520000003,85.0,15.0,183.11999999999998,56525.22,281.72,259.17,-22.54,22.54
2024-11-01,HISTORICO,181304000.0,154108400.0,27195600.0,85.0,15.0,188.50999999999996,55959.34,290.03000000000003,266.84,-23.200000000000003,23.200000000000003
2024-12-01,HISTORICO,182437150.0,155071577.52,27365572.479999997,85.0,15.0,197.85,57871.979999999996,304.39,280.04,-24.349999999999994,24.349999999999994
2025-01-01,HISTORICO,183570300.0,156034755.04,27535545.039999995,85.0,15.0,202.64,61184.52999999999,311.74,286.79999999999995,-24.939999999999998,24.939999999999998
2025-02-01,HISTORICO,184703450.0,156997932.48,27705517.520000003,85.0,15.0,198.07000000000002,63145.96000000001,304.7300000000001,280.35999999999996,-24.369999999999994,24.369999999999994
2025-03-01,HISTORICO,185836600.0,157961110.0,27875490.0,85.0,15.0,189.3,62439.979999999996,291.21999999999997,267.93,-23.29,23.29
2025-04-01,HISTORICO,186969750.0,158924287.52,28045462.479999997,85.0,15.0,184.57,60405.03999999999,283.98,261.25000000000006,-22.71,22.71
2025-05-01,HISTORICO,188102900.0,159887464.96,28215435.039999995,85.0,15.0,187.70999999999998,59252.49,288.77,265.65000000000003,-23.09,23.09
2025-06-01,HISTORICO,189236050.0,160850642.48,28385407.520000003,85.0,15.0,196.28,60471.22,301.97,277.83,-24.14,24.14
2025-07-01,HISTORICO,190369200.0,161813820.0,28555380.0,85.0,15.0,202.88,63649.78999999999,312.12,287.15999999999997,-24.98,24.98
2025-08-01,HISTORICO,191502350.0,162776997.52,28725352.479999997,85.0,15.0,200.93999999999997,66258.7,309.14,284.41,-24.719999999999995,24.719999999999995
2025-09-01,HISTORICO,192635500.0,163740175.04,28895325.039999995,85.0,15.0,192.81,66268.89,296.63,272.9,-23.720000000000006,23.720000000000006
2025-10-01,HISTORICO,193768650.0,164703352.48,29065297.520000003,85.0,15.0,186.57000000000002,64371.61,287.01000000000005,264.05,-22.97,22.97
2025-11-01,HISTORICO,194901800.0,165666530.0,29235270.0,85.0,15.0,187.39000000000001,62749.46000000001,288.28000000000003,265.22,-23.06,23.06
2025-12-01,HISTORICO,196034950.0,166629707.52,29405242.479999997,85.0,15.0,194.69,63237.63999999999,299.52,275.56,-23.96,23.96
2026-01-01,HISTORICO,197168100.0,167592884.96,29575215.039999995,85.0,15.0,202.38,66060.91,311.35,286.44000000000005,-24.909999999999997,24.909999999999997
2026-02-01,HISTORICO,198301250.0,168556062.48,29745187.520000003,85.0,15.0,203.03000000000003,69136.45,312.37,287.39,-24.99,24.99
2026-03-01,HISTORICO,199434400.0,169519240.0,29915160.0,85.0,15.0,196.2,69937.20000000001,301.86,277.71000000000004,-24.14,24.14
