Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30627900.28,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,BOGOTA,41969469.44,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33780772.29,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26208744.07,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,VALLE,21844187.81,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,SANTANDER,16715150.83,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10880923.84,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-28,28,2026-08-01,True,TOLIMA,8955949.19,438306.20875,190983097.75,124139013.54,362.8469,372560.28,65745.93,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.91862625,477114.1472870711,734021.7650422503,675300.0238388702,-58721.74120338005,58721.74120338005,8.000000000000004
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25612846.43,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
2026-08-29,29,2026-08-01,True,BOGOTA,35256204.17,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28443349.79,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22385049.79,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
2026-08-29,29,2026-08-01,True,VALLE,18627354.43,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
2026-08-29,29,2026-08-01,True,SANTANDER,14424064.22,312872.18375,161691050.87,105099183.07,363.5664,265941.36,46930.83,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),938.61655125,341249.440518378,524999.1392365645,482999.2080976394,-41999.93113892514,41999.93113892514,7.9999999999999964
