Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,107767500.0,91602375.03999999,16165125.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,108485950.0,92213057.52,16272892.480000002,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,109204400.0,92823740.0,16380660.0,85.0,15.0,115.76,34569.45,178.08999999999997,163.82999999999998,-14.260000000000002,14.260000000000002
2024-04-01,HISTORICO,109922850.0,93434422.48,16488427.519999998,85.0,15.0,115.54000000000002,33461.46,177.74999999999997,163.53,-14.21,14.21
2024-05-01,HISTORICO,110641300.0,94045104.96000001,16596195.039999995,85.0,15.0,120.30999999999999,33525.82000000001,185.1,170.29000000000002,-14.82,14.82
2024-06-01,HISTORICO,111359750.0,94655787.52,16703962.480000002,85.0,15.0,126.28000000000002,35119.990000000005,194.26999999999998,178.74,-15.550000000000002,15.550000000000002
2024-07-01,HISTORICO,112078200.0,95266470.0,16811730.0,85.0,15.0,127.74000000000002,37150.26,196.54000000000002,180.82000000000002,-15.720000000000002,15.720000000000002
2024-08-01,HISTORICO,112796650.0,95877152.48,16919497.52,85.0,15.0,123.36000000000003,37911.31,189.76,174.57999999999998,-15.17,15.17
2024-09-01,HISTORICO,113515100.0,96487835.03999999,17027265.039999995,85.0,15.0,117.81999999999998,37093.979999999996,181.26,166.76,-14.5,14.5
2024-10-01,HISTORICO,114233550.0,97098517.52,17135032.48,85.0,15.0,116.11000000000001,35838.62,178.59999999999997,164.33,-14.280000000000001,14.280000000000001
2024-11-01,HISTORICO,114952000.0,97709200.0,17242800.0,85.0,15.0,119.52000000000001,35479.86,183.87,169.18,-14.72,14.72
2024-12-01,HISTORICO,115670450.0,98319882.48,17350567.52,85.0,15.0,125.44999999999999,36692.520000000004,193.0,177.55,-15.440000000000001,15.440000000000001
2025-01-01,HISTORICO,116388900.0,98930564.96000001,17458335.039999995,85.0,15.0,128.48,38792.77,197.66,181.82999999999998,-15.81,15.81
2025-02-01,HISTORICO,117107350.0,99541247.52,17566102.48,85.0,15.0,125.58,40036.39,193.2,177.74999999999997,-15.47,15.47
2025-03-01,HISTORICO,117825800.0,100151930.0,17673870.0,85.0,15.0,120.00999999999999,39588.74999999999,184.64,169.87,-14.77,14.77
2025-04-01,HISTORICO,118544250.0,100762612.48,17781637.52,85.0,15.0,117.03,38298.55,180.05,165.65,-14.4,14.4
2025-05-01,HISTORICO,119262700.0,101373295.03999999,17889405.039999995,85.0,15.0,119.0,37567.8,183.07999999999998,168.44,-14.629999999999997,14.629999999999997
2025-06-01,HISTORICO,119981150.0,101983977.52,17997172.48,85.0,15.0,124.44,38340.509999999995,191.46,176.14000000000001,-15.32,15.32
2025-07-01,HISTORICO,120699600.0,102594660.0,18104940.0,85.0,15.0,128.62,40355.82,197.89000000000001,182.06,-15.850000000000001,15.850000000000001
2025-08-01,HISTORICO,121418050.0,103205342.48,18212707.52,85.0,15.0,127.39,42009.93999999999,195.99,180.32000000000002,-15.669999999999998,15.669999999999998
2025-09-01,HISTORICO,122136500.0,103816024.96000001,18320475.039999995,85.0,15.0,122.24999999999999,42016.41,188.07,173.04,-15.04,15.04
2025-10-01,HISTORICO,122854950.0,104426707.52,18428242.48,85.0,15.0,118.30000000000001,40813.48,181.97000000000003,167.42999999999998,-14.559999999999999,14.559999999999999
2025-11-01,HISTORICO,123573400.0,105037390.0,18536010.0,85.0,15.0,118.80999999999999,39784.979999999996,182.78,168.16000000000003,-14.62,14.62
2025-12-01,HISTORICO,124291850.0,105648072.48,18643777.52,85.0,15.0,123.44000000000001,40094.509999999995,189.91000000000003,174.71,-15.19,15.19
2026-01-01,HISTORICO,125010300.0,106258755.03999999,18751545.039999995,85.0,15.0,128.31,41884.53,197.41000000000003,181.60999999999999,-15.79,15.79
2026-02-01,HISTORICO,125728750.0,106869437.52,18859312.48,85.0,15.0,128.73000000000002,43834.530000000006,198.05000000000004,182.2,-15.850000000000001,15.850000000000001
2026-03-01,HISTORICO,126447200.0,107480120.0,18967080.0,85.0,15.0,124.41,44342.20999999999,191.41000000000003,176.08,-15.309999999999999,15.309999999999999
2026-04-01,HISTORICO,127165650.0,108090802.48,19074847.52,85.0,15.0,119.80999999999999,43350.67,184.31000000000003,169.57999999999998,-14.749999999999998,14.749999999999998
2026-05-01,HISTORICO,127884100.0,108701484.96000001,19182615.039999995,85.0,15.0,118.95000000000002,42118.759999999995,183.01,168.37,-14.629999999999997,14.629999999999997
2026-06-01,HISTORICO,128602550.0,109312167.52,19290382.48,85.0,15.0,122.54999999999998,41974.71000000001,188.50999999999996,173.45,-15.07,15.07
2026-07-01,HISTORICO,129321000.0,109922850.0,19398150.0,85.0,15.0,127.66000000000001,43425.700000000004,196.39,180.69000000000003,-15.71,15.71
2026-08-01,HISTORICO,142072491.51999998,120761617.75999999,21310873.76,85.0,15.0,36228.67,13182299.810000002,20210617.459999997,18593768.08,-1616849.3800000001,1616849.3800000001
2026-09-01,HISTORICO,228715259.76,194407970.79999998,34307289.03999999,85.0,15.0,293998.44000000006,107709928.59,165636179.92000002,152385285.51,-13250894.43,13250894.43
2026-10-01,HISTORICO,232858113.11999995,197929396.16000003,34928716.95999999,85.0,15.0,304266.80000000005,112935981.83999997,173677276.07999998,159783093.98999998,-13894182.080000002,13894182.080000002
2026-11-01,HISTORICO,230881209.20000002,196249027.84,34632181.36000001,85.0,15.0,296178.64999999997,110554998.83000001,170016260.03,156414959.23999998,-13601300.79,13601300.79
2026-12-01,HISTORICO,237168021.83999997,201592818.56,35575203.28,85.0,15.0,312886.1500000001,118686477.53,182527089.76,167924922.51000002,-14602167.149999999,14602167.149999999
2027-01-01,HISTORICO,236542360.88000005,201061006.72,35481354.16,85.0,15.0,308858.80000000005,119039090.95000002,183067992.40999997,168422553.03999996,-14645439.38,14645439.38
2027-02-01,HISTORICO,229294070.0,194899959.51999998,34394110.48,85.0,15.0,284961.63,110299094.78999999,169618619.31,156049129.73,-13569489.509999998,13569489.509999998
