Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,29808933.3,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,BOGOTA,42655078.25,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33967786.15,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26698055.49,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,VALLE,21721216.92,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,SANTANDER,16920085.09,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,11007559.12,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-28,28,2026-08-01,True,TOLIMA,9129979.49,440430.4525,191908693.81,124740650.98,362.8469,374365.88,66064.57,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1321.2913575,479426.47306566674,737579.1893110998,678572.8541662119,-59006.33514488791,59006.33514488791,7.99999999999999
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25496647.64,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,BOGOTA,36172879.72,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_MAR,28260873.19,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,CARIBE_SOL,22538337.81,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,VALLE,18385274.56,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,SANTANDER,14274256.81,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,CUNDINAMARCA,9268513.11,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-29,29,2026-08-01,True,TOLIMA,7614506.84,313491.845,162011289.67999998,105307338.29,363.5664,266468.07,47023.78,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),940.4755349999999,341925.30454802397,526038.9300838734,483955.8156771636,-42083.11440670985,42083.11440670985,7.999999999999995
2026-08-30,30,2026-08-01,True,ANTIOQUIA,25280320.94,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,BOGOTA,35954056.7,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,CARIBE_MAR,28449399.58,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,CARIBE_SOL,22399818.38,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,VALLE,18163126.47,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,SANTANDER,14208493.54,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,CUNDINAMARCA,9170448.63,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-30,30,2026-08-01,True,TOLIMA,7627350.66,312024.58375,161253014.89999998,104814459.68,364.2743,265220.9,46803.69,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),936.07375125,340987.6104849679,524596.3238480523,482628.6179402081,-41967.70590784418,41967.70590784418,8.0
2026-08-31,31,2026-08-01,True,ANTIOQUIA,30036538.99,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,BOGOTA,42402909.58,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_MAR,33042994.24,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,CARIBE_SOL,26740221.52,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,VALLE,21831464.38,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,SANTANDER,16800564.93,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,CUNDINAMARCA,10930963.49,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-08-31,31,2026-08-01,True,TOLIMA,9143887.88,438183.30625,190929545.01,124104204.26,364.9592,372455.81,65727.5,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1314.5499187500002,479757.08670706506,738087.8256823613,679040.7996277724,-59047.026054588845,59047.026054588845,7.999999999999992
2026-09-01,1,2026-09-01,True,ANTIOQUIA,30015588.14,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,BOGOTA,42302681.31,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,CARIBE_MAR,33689748.84,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,CARIBE_SOL,26443440.63,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,VALLE,21813937.48,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,SANTANDER,17085253.44,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,CUNDINAMARCA,10934830.92,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-01,1,2026-09-01,True,TOLIMA,9011923.05,439027.54125,191297403.81,124343312.48,365.6102,373173.41,65854.13,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1317.08262375,481538.84148576227,740828.98688032,681562.6679298944,-59266.3189504256,59266.3189504256,8.0
2026-09-02,2,2026-09-01,True,ANTIOQUIA,30401224.92,439812.035,191639231.13,124565500.23,366.2172,373840.23,65971.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.436105,483200.195952006,743384.9168760951,683914.1235260075,-59470.793350087595,59470.793350087595,7.999999999999999
2026-09-02,2,2026-09-01,True,BOGOTA,42122442.25,439812.035,191639231.13,124565500.23,366.2172,373840.23,65971.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.436105,483200.195952006,743384.9168760951,683914.1235260075,-59470.793350087595,59470.793350087595,7.999999999999999
2026-09-02,2,2026-09-01,True,CARIBE_MAR,34183667.3,439812.035,191639231.13,124565500.23,366.2172,373840.23,65971.81,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1319.436105,483200.195952006,743384.9168760951,683914.1235260075,-59470.793350087595,59470.793350087595,7.999999999999999
