Período (Mes),Tipo de Registro,Demanda Comercial Agente (VR - DemaComeReg) [kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],PUI Energía Total Agente [kWh],PUI Valor Total Agente [COP],Egreso Giro Total CIOR [COP],Recaudo Real Efectivo Total [COP],Flujo Neto de Caja Total [COP],Sobrecosto Incobrabilidad Total [COP]
2024-01-01,HISTORICO,219562500.0,186628124.96,32934375.039999995,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,HISTORICO,221026250.0,187872312.48,33153937.520000003,85.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,HISTORICO,222490000.0,189116500.0,33373500.0,85.0,15.0,235.82999999999998,70430.85,362.83000000000004,333.79999999999995,-29.03,29.03
2024-04-01,HISTORICO,223953750.0,190360687.52,33593062.48,85.0,15.0,235.39000000000001,68173.46,362.15,333.17999999999995,-28.979999999999997,28.979999999999997
2024-05-01,HISTORICO,225417500.0,191604875.04,33812625.04,85.0,15.0,245.11999999999998,68304.57,377.11,346.94999999999993,-30.17,30.17
2024-06-01,HISTORICO,226881250.0,192849062.48,34032187.52,85.0,15.0,257.27,71552.51999999999,395.79999999999995,364.14,-31.67,31.67
2024-07-01,HISTORICO,228345000.0,194093250.0,34251750.0,85.0,15.0,260.28,75688.88,400.42999999999995,368.39,-32.04,32.04
2024-08-01,HISTORICO,229808750.0,195337437.52,34471312.48,85.0,15.0,251.29999999999998,77239.44,386.6099999999999,355.69,-30.92,30.92
2024-09-01,HISTORICO,231272500.0,196581624.96,34690875.04,85.0,15.0,240.03999999999996,75574.24,369.3,339.75,-29.549999999999997,29.549999999999997
2024-10-01,HISTORICO,232736250.0,197825812.48,34910437.52,85.0,15.0,236.52999999999997,73016.64,363.91,334.78999999999996,-29.109999999999996,29.109999999999996
2024-11-01,HISTORICO,234200000.0,199070000.0,35130000.0,85.0,15.0,243.51000000000002,72285.66,374.64000000000004,344.66,-29.97,29.97
2024-12-01,HISTORICO,235663750.0,200314187.52,35349562.48,85.0,15.0,255.56,74756.34,393.21,361.74,-31.47,31.47
2025-01-01,HISTORICO,237127500.0,201558375.04,35569125.04,85.0,15.0,261.76000000000005,79035.30999999998,402.69,370.46999999999997,-32.21,32.21
2025-02-01,HISTORICO,238591250.0,202802562.48,35788687.52,85.0,15.0,255.87,81568.98999999999,393.64,362.15,-31.490000000000002,31.490000000000002
2025-03-01,HISTORICO,240055000.0,204046750.0,36008250.0,85.0,15.0,244.51999999999998,80657.03,376.19000000000005,346.09,-30.11,30.11
2025-04-01,HISTORICO,241518750.0,205290937.52,36227812.48,85.0,15.0,238.43,78028.42000000001,366.83000000000004,337.48,-29.340000000000003,29.340000000000003
2025-05-01,HISTORICO,242982500.0,206535124.96,36447375.04,85.0,15.0,242.45000000000005,76539.58,372.99999999999994,343.16999999999996,-29.840000000000003,29.840000000000003
2025-06-01,HISTORICO,244446250.0,207779312.48,36666937.52,85.0,15.0,253.55,78113.89,390.08,358.88,-31.2,31.2
2025-07-01,HISTORICO,245910000.0,209023500.0,36886500.0,85.0,15.0,262.08,82219.84,403.17,370.93,-32.260000000000005,32.260000000000005
2025-08-01,HISTORICO,247373750.0,210267687.52,37106062.48,85.0,15.0,259.57,85589.88,399.33000000000004,367.37,-31.93,31.93
2025-09-01,HISTORICO,248837500.0,211511875.04,37325625.04,85.0,15.0,249.07999999999998,85603.04,383.19,352.52,-30.66,30.66
2025-10-01,HISTORICO,250301250.0,212756062.48,37545187.52,85.0,15.0,240.98000000000002,83152.26000000001,370.74,341.09999999999997,-29.66,29.66
2025-11-01,HISTORICO,251765000.0,214000250.0,37764750.0,85.0,15.0,242.04999999999998,81056.81,372.4,342.5899999999999,-29.79,29.79
2025-12-01,HISTORICO,253228750.0,215244437.52,37984312.48,85.0,15.0,251.50000000000003,81687.41,386.92,355.95,-30.96,30.96
2026-01-01,HISTORICO,254692500.0,216488624.96,38203875.04,85.0,15.0,261.42,85334.40000000001,402.21,370.02,-32.18,32.18
2026-02-01,HISTORICO,256156250.0,217732812.48,38423437.52,85.0,15.0,262.26000000000005,89307.2,403.49,371.23,-32.28,32.28
2026-03-01,HISTORICO,257620000.0,218977000.0,38643000.0,85.0,15.0,253.45000000000002,90341.59999999999,389.91999999999996,358.73,-31.2,31.2
2026-04-01,HISTORICO,259083750.0,220221187.52,38862562.48,85.0,15.0,244.09,88321.45999999999,375.52,345.48,-30.040000000000003,30.040000000000003
2026-05-01,HISTORICO,260547500.0,221465375.04,39082125.04,85.0,15.0,242.35999999999999,85811.6,372.85,343.04,-29.82,29.82
