Fecha (Día),dia,Período (Mes),Es Pronóstico (Sí/No),Código Mercado Comercialización,Demanda Mercado Total (VR - DemaCome) [kWh],Demanda Comercial Agente (VR - DemaComeReg) [kWh],vr_total_todos_agentes_kwh,vr_total_cniors_kwh,Costo Unitario (CU - PrecPromCont) [COP/kWh],Cobertura Energía en Contratos [kWh],Exposición Energía en Bolsa Spot [kWh],Porcentaje Cobertura Contratos [%],Porcentaje Exposición Bolsa Spot [%],Estado Cobertura Demanda,Asignación Diaria PUI [kWh],Valor Diarios PUI [COP],Egreso Giro Diario al CIOR [COP],Recaudo Real Diario Agente [COP],Flujo Neto Caja Diarios [COP],Sobrecosto Diarios [COP],pct_perdida_incobrabilidad
2026-08-28,28,2026-08-01,True,ANTIOQUIA,30013960.72,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,BOGOTA,41913641.18,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_MAR,33780295.81,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,CARIBE_SOL,26454496.17,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,VALLE,21462583.68,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,SANTANDER,16917502.03,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,CUNDINAMARCA,10612405.75,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-28,28,2026-08-01,True,TOLIMA,9081042.43,436591.45375,190235927.77,123653353.05,362.8469,371102.74,65488.72,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),1309.77436125,475247.56667904265,731150.1025860991,672658.0943792112,-58492.00820688787,58492.00820688787,7.999999999999992
2026-08-29,29,2026-08-01,True,ANTIOQUIA,25472901.8,314204.935,162379811.2,105546877.28,363.5664,267074.19,47130.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.614805,342703.071240552,527235.4942162337,485056.65467893507,-42178.839537298656,42178.839537298656,7.999999999999992
2026-08-29,29,2026-08-01,True,BOGOTA,35891144.95,314204.935,162379811.2,105546877.28,363.5664,267074.19,47130.74,85.0,15.0,Cubierta (85.0% Contratos / 15.0% Bolsa),942.614805,342703.071240552,527235.4942162337,485056.65467893507,-42178.839537298656,42178.839537298656,7.999999999999992
